ID,Titik 1,Moda 1,Harga 1,Titik 2,Moda 2,Harga 2,Titik 3,Moda 3,Harga 3,Titik 4,Moda 4,Harga 4,Titik 5,Moda 5,harga 5,Titik 6,Moda 6,Harga 6,Titik 7,Moda 7,Harga 7,Titik 8,Moda 8,Harga 8,Titik 9,Titik 10,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Total Harga
Rute-11,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Manggarai,Cikarang Line,1000,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas BNI,Bundaran HI - Lebak Bulus,7000,Blok M BCA,,,Blok M,,,,,,,,,,,,,,,,11000
Rute-12,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Manggarai,Cikarang Line,1000,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas,1,3500,Bundaran Senayan,1,0,Blok M,,,Blok M,,,,,,,,,,,,,7500
Rute-13,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Manggarai,Cikarang Line,1000,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas,1,,Blok M,,,Blok M,,,,,,,,,,,,,,,,4000
Rute-14,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Manggarai,4,3500,Galunggung,Jalan Kaki (Integrasi),0,Dukuh Atas,1,0,Bundaran Senayan,1,0,Blok M,,,Blok M,,,,,,,,,,,,,6500
Rute-15,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Manggarai,4,3500,Galunggung,Jalan Kaki (Integrasi),0,Dukuh Atas,1,0,Blok M,,,Blok M,,,,,,,,,,,,,,,,6500
Rute-16,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Tebet,Jalan Kaki (Integrasi),0,Stasiun Tebet,6D,3500,Bundaran Senayan 1,1P,0,Blok M Jalur 2,,,Blok M,,,,,,,,,,,,,,,,6500
Rute-17,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Tebet,Jalan Kaki (Integrasi),0,Stasiun Tebet,6D,3500,Bundaran Senayan 1,Bogor - Blok M,,Terminal Blok M,,,Blok M,,,,,,,,,,,,,,,,6500
Rute-18,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Tanjung Barat,Jalan Kaki (Integrasi),0,St. Tj. Barat 2,D21,3500,St. MRT Fatmawati,Jalan Kaki (Integrasi),7000,Fatmawati Indomaret,Bundaran HI - Lebak Bulus,,Blok M BCA,,,Blok M,,,,,,,,,,,,,13500
Rute-19,UI,Jalan Kaki,0,Universitas Indonesia Train Station,D21,3500,St. MRT Fatmawati,Jalan Kaki (Integrasi),0,Kantor Pos Fatmawati,1E,3500,St. MRT Blok A ,1E,0,Blok M,,,,,,,,,,,,,,,,,,,7000
Rute-20,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,13B,0,CSW 1,Jalan Kaki (Integrasi),0,Blok M,,,,,,,,,,,,,,,,6500
Rute-21,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9D,0,Tegal Parang 1,Jalan Kaki (Integrasi),0,Tegal Mampang,6V,,Kejaksaan Agung,,,Blok M,,,,,,,,,,6500
Rute-22,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9D,0,Tegal Parang 1,Jalan Kaki (Integrasi),0,Tegal Mampang,7B,,Blok M Jalur 2,,,Blok M,,,,,,,,,,6500
Rute-23,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,4K,0,Kejaksaan Agung,Jalan Kaki (Integrasi),0,Blok M,,,,,,,,,,,,,,,,6500
Rute-24,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9,0,Tegal Parang Arah Barat,Jalan Kaki (Integrasi),0,Tegal Mampang,6V,,Kejaksaan Agung,,,Blok M,,,,,,,,,,6500
Rute-25,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9,0,Tegal Parang Arah Barat,Jalan Kaki (Integrasi),0,Tegal Mampang,7B,,Blok M Jalur 2,,,Blok M,,,,,,,,,,6500
Rute-26,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9C,0,Senayan Bank Jakarta,1,0,Blok M,,,Blok M,,,,,,,,,,,,,6500
Rute-27,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Semanggi,Jalan Kaki (Integrasi),0,Bendungan Hilir,Bundaran HI - Lebak Bulus,7000,Blok M BCA,,,Blok M,,,,,,,,,,,,,13500
Rute-28,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Tegal Parang Arah Barat,Jalan Kaki (Integrasi),0,Tegal Mampang,7B,0,Blok M Jalur 2,,,Blok M,,,,,,,,,,,,,6500
Rute-29,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9C,3500,Senayan Bank Jakarta,1,0,Blok M,,0,Blok M,,,,,,,,,,,,,,,,6500
Rute-30,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9C,3500,Bundaran Senayan,1,0,Blok M,,0,Blok M,,,,,,,,,,,,,,,,6500
Rute-31,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,4K,3500,Kejaksaan Agung,,0,Blok M,,,,,,,,,,,,,,,,,,,6500
Rute-32,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Simpang Kuningan,Jalan Kaki (Integrasi),0,Hotel Maharadja,6U,3500,Blok M Jalur 3,,,Blok M,,,,,,,,,,,,,10000
Rute-33,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Tebet,Jalan Kaki (Integrasi),0,Stasiun Tebet,6C,3500,Kuningan,13E,0,CSW,Jalan Kaki (Integrasi),0,Kejaksaan Agung,1,0,Blok M,,,,,,,,,,,,,6500
Rute-34,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Bogor Line,0,Manggarai,Cikarang Line,0,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas BNI,1,,Blok M BCA,,,Blok M,,,,,,,,,,,,,3000
Rute-35,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Bogor Line,0,Manggarai,Cikarang Line,0,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas,1,,Bundaran Senayan,1,,Blok M,,,Blok M,,,,,,,,,,3000
Rute-36,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Bogor Line,0,Manggarai,Cikarang Line,0,Sudirman,Jalan Kaki (Integrasi),0,Dukuh Atas,1,,Blok M,,,Blok M,,,,,,,,,,,,,3000
Rute-37,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Bogor Line,0,Manggarai,4,3500,Galunggung,Jalan Kaki (Integrasi),0,Dukuh Atas,1,,Bundaran Senayan,1,,Blok M,,,Blok M,,,,,,,,,,6500
Rute-38,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Bogor Line,0,Manggarai,4,3500,Galunggung,Jalan Kaki (Integrasi),0,Dukuh Atas,1,,Blok M,,,Blok M,,,,,,,,,,,,,6500
Rute-39,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,5700,Pancoran,Jalan Kaki (Integrasi),0,Pancoran Arah Barat,13B,3500,CSW 1,,,Blok M,,,,,,,,,,,,,12200
Rute-40,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,5700,Pancoran,Jalan Kaki (Integrasi),0,Pancoran Arah Barat,9D,3500,Tegal Parang 1,Jalan Kaki (Integrasi),,Tegal Mampang,6V,,Kejaksaan Agung,Blok M,,,,,,,,,12200
Rute-41,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,5700,Pancoran,Jalan Kaki (Integrasi),0,Pancoran Arah Barat,9D,3500,Tegal Parang 1,Jalan Kaki (Integrasi),,Tegal Mampang,7B,,Blok M Jalur 2,Blok M,,,,,,,,,12200
Rute-42,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,5700,Pancoran,Jalan Kaki (Integrasi),0,Pancoran Arah Barat,4K,3500,Kejaksaan Agung,,,Blok M,,,,,,,,,,,,,12200
Rute-43,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,5700,Pancoran,Jalan Kaki (Integrasi),0,Pancoran Arah Barat,9,3500,Tegal Parang Arah Barat,Jalan Kaki (Integrasi),,Tegal Mampang,6V,,Kejaksaan Agung,Blok M,,,,,,,,,12200
Rute-44,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,5700,Pancoran,Jalan Kaki (Integrasi),0,Pancoran Arah Barat,9,3500,Tegal Parang Arah Barat,Jalan Kaki (Integrasi),,Tegal Mampang,7B,,Blok M Jalur 2,Blok M,,,,,,,,,12200
Rute-45,UI,Jalan Kaki,0,Universitas Indonesia Train Station,Bogor Line,3000,Cawang,Jalan Kaki (Integrasi),0,Cikoko,Cibubur Line,5700,Pancoran,Jalan Kaki (Integrasi),0,Pancoran Arah Barat,9C,3500,,1,,Blok M,,,Blok M,,,,,,,,,,12200
Rute-46,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,13B,0,CSW 1,,3500,Blok M,,,,,,,,,,,,,,,,13500
Rute-47,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,Jalan Kaki (Integrasi),0,Pancoran ,Cibubur Line,8500,Dukuh Atas,Jalan Kaki (Integrasi),,Dukuh Atas,MRT,,Blok M,,,Blok M,,,,,,,18500
Rute-48,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9D,,Tegal Parang 1,Jalan Kaki (Integrasi),,Tegal Mampang,7B,,Blok M Jalur 2,,,Blok M,,,,,,,,,,10000
Rute-49,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,4K,,Kejaksaan Agung,,,Blok M,,,,,,,,,,,,,,,,10000
Rute-50,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9,,Tegal Parang Arah Barat,Jalan Kaki (Integrasi),,Tegal Mampang,6V,,Kejaksaan Agung,,,Blok M,,,,,,,,,,10000
Rute-51,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9,,Tegal Parang Arah Barat,Jalan Kaki (Integrasi),,Tegal Mampang,7B,,Blok M Jalur 2,,,Blok M,,,,,,,,,,10000
Rute-52,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Jalan Kaki (Integrasi),0,Cikoko Arah Barat,9,3500,Pancoran Arah Barat,9C,,Senayan Bank Jakarta,1,,Blok M,,,Blok M,,,,,,,,,,,,,10000
