ID,Rute Lengkap
Rute-77,Start: UI -- [TJ 4B]--> St. Manggarai -- [6M] --> Terminal Blok M -[Jalan Kaki (Selesai)]--> End: Blok M
Rute-78,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> St. Manggarai -- [6M] --> Terminal Blok M -[Jalan Kaki (Selesai)]--> End: Blok M
,
,
,
,
,
,
,
Rute-86,Start: UI --[TJ 4B]--> Manggarai --[Bogor Line]--> Cikini Station --[Jalan Kaki (Integrasi)]--> SMPN 8 --[4C]--> Bundaran Senayan 1 --[1P]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
